Gene stable ID,Gene name,Gene start (bp),Gene end (bp)
ENSG00000212384,SNORD113-2,100927342,100927413
ENSG00000201700,SNORD113-3,100929919,100929990
ENSG00000201672,SNORD113-4,100936491,100936565
ENSG00000272474,SNORD113-5,100938187,100938264
ENSG00000196976,LAGE3,154477769,154479257
ENSG00000200215,SNORD113-6,100939556,100939630
ENSG00000200632,SNORD113-7,100941126,100941202
ENSG00000200367,SNORD113-8,100943451,100943524
ENSG00000201950,SNORD113-9,100945649,100945720
ENSG00000199575,SNORD114-1,100949833,100949904
ENSG00000200823,SNORD114-2,100951856,100951933
ENSG00000201839,SNORD114-3,100953349,100953423
ENSG00000200832,SNORD114-4,100954374,100954448
ENSG00000199798,SNORD114-5,100955370,100955439
ENSG00000200150,AL132709.1,100956240,100956312
ENSG00000201263,SNORD114-6,100957166,100957237
ENSG00000236467,KCNMA1-AS1,76888044,76980624
ENSG00000199390,SNORD114-7,100963054,100963130
ENSG00000201240,SNORD114-9,100966029,100966100
ENSG00000200279,SNORD114-10,100967052,100967123
ENSG00000102178,UBL4A,154483717,154486615
ENSG00000200608,SNORD114-11,100968111,100968185
ENSG00000202270,SNORD114-12,100968948,100969022
ENSG00000201247,SNORD114-13,100969879,100969952
ENSG00000199593,SNORD114-14,100972103,100972177
ENSG00000201557,SNORD114-15,100972670,100972741
ENSG00000199914,SNORD114-16,100973595,100973664
ENSG00000239397,AC084878.1,46004038,46004685
ENSG00000201569,SNORD114-17,100974806,100974880
ENSG00000202142,SNORD114-18,100975825,100975896
ENSG00000199942,SNORD114-19,100976477,100976551
ENSG00000201500,AL132709.3,100977389,100977466
ENSG00000201036,AL132709.2,100979002,100979090
ENSG00000201710,AL132709.4,100979992,100980066
ENSG00000202048,SNORD114-20,100981004,100981075
ENSG00000272344,SNORD114-21,100981975,100982046
ENSG00000202293,SNORD114-22,100982926,100982997
ENSG00000200406,SNORD114-23,100983876,100983947
ENSG00000201899,SNORD114-24,100984777,100984848
ENSG00000225497,KCNMA1-AS2,77147652,77150100
ENSG00000200612,SNORD114-25,100986057,100986128
ENSG00000154783,FGD5,14810853,14934571
ENSG00000200413,SNORD114-26,100987046,100987117
ENSG00000200636,SNORD114-27,100988161,100988230
ENSG00000224500,AL731575.1,77313941,77315694
ENSG00000200480,SNORD114-28,100989130,100989201
ENSG00000201689,SNORD114-29,100990091,100990160
ENSG00000201318,SNORD114-30,100991919,100991990
ENSG00000200089,SNORD114-31,100993236,100993310
ENSG00000222095,AL132709.5,100994257,100994330
ENSG00000225652,KCNMA1-AS3,77350851,77376613
ENSG00000222185,AL132709.6,100998467,100998541
ENSG00000199088,MIR379,101022066,101022132
ENSG00000199109,MIR411,101023325,101023420
ENSG00000271857,AL096865.1,45421079,45422005
ENSG00000207749,MIR299,101023794,101023856
ENSG00000198982,MIR380,101025017,101025077
ENSG00000221745,MIR1197,101025564,101025651
ENSG00000199069,MIR323A,101025732,101025817
ENSG00000261080,RUNX2-AS1,45573346,45576770
ENSG00000211582,MIR758,101026020,101026107
ENSG00000207761,MIR329-1,101026785,101026864
ENSG00000207762,MIR329-2,101027100,101027183
ENSG00000126903,SLC10A3,154487306,154490690
ENSG00000194717,MIR494,101029634,101029714
ENSG00000228092,COX6CP15,77433572,77433782
ENSG00000221036,MIR1193,101030052,101030129
ENSG00000212040,MIR543,101031987,101032064
ENSG00000207743,MIR495,101033755,101033836
ENSG00000199592,RNA5SP321,77587049,77587159
ENSG00000283279,MIR376C,101039690,101039755
ENSG00000213514,AL731556.1,77730766,77734769
ENSG00000283561,MIR376A2,101040069,101040148
ENSG00000207934,MIR654,101040219,101040299
ENSG00000111371,SLC38A1,46183063,46270017
ENSG00000283556,MIR376B,101040436,101040535
ENSG00000277981,AL731556.2,77738246,77739015
ENSG00000283588,MIR376A1,101040782,101040849
ENSG00000215957,MIR300,101041363,101041445
ENSG00000221525,MIR1185-1,101042977,101043062
ENSG00000199664,RNU6-1266P,77776951,77777055
ENSG00000221614,MIR1185-2,101044198,101044283
ENSG00000258861,MIR381HG,101045157,101051795
ENSG00000213513,IMPDH1P5,77780337,77781876
ENSG00000112782,CLIC5,45880827,46080348
ENSG00000199020,MIR381,101045920,101045994
ENSG00000228748,AL450306.1,77782866,77793176
ENSG00000207754,MIR487B,101046455,101046538
ENSG00000202560,MIR539,101047321,101047398
ENSG00000216099,MIR889,101047901,101047979
ENSG00000207587,MIR544A,101048658,101048748
ENSG00000207646,MIR655,101049550,101049646
ENSG00000207742,MIR487A,101052446,101052525
ENSG00000283170,MIR382,101054306,101054381
ENSG00000207993,MIR134,101054687,101054759
ENSG00000276352,MIR668,101055258,101055323
ENSG00000208027,MIR485,101055419,101055491
ENSG00000208004,MIR323B,101056219,101056300
ENSG00000207978,MIR154,101059755,101059838
ENSG00000207961,MIR496,101060573,101060674
ENSG00000199015,MIR377,101062050,101062118
ENSG00000216179,MIR541,101064495,101064578
ENSG00000199107,MIR409,101065300,101065378
ENSG00000199012,MIR412,101065447,101065537
ENSG00000199025,MIR369,101065598,101065667
ENSG00000199092,MIR410,101065912,101065991
ENSG00000151208,DLG5,77790791,77926755
ENSG00000207959,MIR656,101066724,101066801
ENSG00000223403,MEG9,101068283,101072937
ENSG00000264484,RN7SL697P,154495815,154496113
ENSG00000230805,AL132709.7,101071978,101077910
ENSG00000140678,ITGAX,31355134,31382999
ENSG00000071889,FAM3A,154506159,154516242
ENSG00000288302,AL132709.8,101120514,101121309
ENSG00000259004,LINC02285,101120840,101123545
ENSG00000286551,AL355836.2,101133730,101151988
ENSG00000283572,MIR4251,3127975,3128035
ENSG00000226286,AL008733.1,3132927,3133709
ENSG00000279839,AL512383.1,3205988,3208664
ENSG00000277754,U3,101145480,101145695
ENSG00000288252,AL355836.4,101160476,101172549
ENSG00000272235,AL590438.1,3306636,3310096
ENSG00000288245,AL355836.3,101185787,101197089
ENSG00000287828,AL354743.2,3313052,3323149
ENSG00000258681,AL355836.1,101217372,101218241
ENSG00000286518,AL354743.1,3367815,3373928
ENSG00000258497,AL359682.1,101257332,101278318
ENSG00000258460,AL355096.1,101332511,101335497
ENSG00000259023,LINC00524,101405984,101408258
ENSG00000236436,LINC02850,20859771,20861661
ENSG00000259082,LINC02314,101442076,101444315
ENSG00000261012,AC115619.1,20999313,21000917
ENSG00000259166,AL049836.2,101447642,101457117
ENSG00000267241,CYP4F10P,15664106,15669826
ENSG00000258498,DIO3OS,101552221,101560431
ENSG00000166337,TAF10,6606294,6612539
ENSG00000130762,ARHGEF16,3454665,3481113
ENSG00000186204,CYP4F12,15673018,15697174
ENSG00000283857,MIR1247,101560287,101560422
ENSG00000197406,DIO3,101561351,101563452
ENSG00000254641,AC091564.3,6608667,6610135
ENSG00000285338,AC091564.7,6610883,6616594
ENSG00000258919,AL049836.1,101628984,101632530
ENSG00000258404,LINC02320,101634454,101731108
ENSG00000241494,AL355032.1,101677943,101678380
ENSG00000258512,LINC00239,101730437,101732522
ENSG00000084674,APOB,21001429,21044073
ENSG00000078304,PPP2R5C,101761798,101927989
ENSG00000272088,AL512413.1,3487246,3487627
ENSG00000249175,AC008534.1,94788789,94793599
ENSG00000243806,RPL7P18,94825961,94826694
ENSG00000276514,AC008534.2,94877599,94877777
ENSG00000249545,MCTP1-AS1,94979151,94980893
ENSG00000261245,AC093520.2,31361278,31361695
ENSG00000225733,FGD5-AS1,14920347,14948424
ENSG00000212468,RNU6-754P,46018745,46018851
ENSG00000231769,AL035701.1,46096004,46129857
ENSG00000153347,FAM81B,95391366,95450454
ENSG00000156886,ITGAD,31393335,31426505
ENSG00000001561,ENPP4,46129989,46146688
ENSG00000112796,ENPP5,46159185,46170980
ENSG00000171942,OR10H2,15728020,15729060
ENSG00000162591,MEGF6,3487951,3611508
ENSG00000171936,OR10H3,15737985,15742343
ENSG00000229349,ACTG1P9,46204729,46207386
ENSG00000267594,CYP4F24P,15760241,15779909
ENSG00000225165,RTRAFP2,95440044,95440687
ENSG00000172348,RCAN2,46220736,46491972
ENSG00000204049,AL391421.1,77866875,77869610
ENSG00000243446,RN7SL284P,77912271,77912545
ENSG00000233871,DLG5-AS1,77927372,77929824
ENSG00000177463,NR2C2,14947584,15053600
ENSG00000268673,AC004597.1,15760375,15770828
ENSG00000198677,TTC37,95461755,95554977
ENSG00000234612,H2AZP5,77953495,77953876
ENSG00000166340,TPP1,6612768,6619448
ENSG00000172519,OR10H5,15787661,15801025
ENSG00000274686,Metazoa_SRP,77966173,77966440
ENSG00000148606,POLR3A,77969251,78029515
ENSG00000186723,OR10H1,15804549,15815664
ENSG00000226541,AL359633.1,46438310,46438619
ENSG00000267235,ZNF861P,15821796,15823796
ENSG00000236466,AL035670.1,46492052,46606162
ENSG00000260757,AC093520.1,31402565,31404699
ENSG00000288618,AC004510.2,15821851,15835854
ENSG00000156885,COX6A2,31427731,31428360
ENSG00000267308,LINC01764,15827005,15835853
ENSG00000146233,CYP39A1,46549580,46652830
ENSG00000277543,AC026471.5,31428180,31428646
ENSG00000176723,ZNF843,31432593,31443160
ENSG00000214049,UCA1,15828206,15836328
ENSG00000261474,AC026471.4,31449535,31453493
ENSG00000261773,AC244090.2,154517840,154518631
ENSG00000260267,AC026471.1,31456711,31459736
ENSG00000160211,G6PD,154531391,154547572
ENSG00000140691,ARMC5,31458080,31467166
ENSG00000280390,AC010872.1,21023496,21024170
ENSG00000287956,AC010872.2,21094101,21096543
ENSG00000218819,TDRD15,21123968,21144368
ENSG00000153291,SLC25A27,46652915,46678190
ENSG00000271629,AC067959.1,21198518,21198896
ENSG00000233005,AC018742.1,21221169,21970959
ENSG00000207776,MIR551A,3560695,3560790
ENSG00000231204,AC011752.1,21317660,21561313
ENSG00000238260,AL513320.1,3623190,3624743
ENSG00000158109,TPRG1L,3625015,3630127
ENSG00000270654,NUTF2P8,21362292,21364025
ENSG00000235537,AC009411.2,21607465,21637197
ENSG00000280132,AC026471.6,31470204,31472108
ENSG00000138326,RPS24,78033760,78056813
ENSG00000228538,AC009411.1,21638068,21649572
ENSG00000140682,TGFB1I1,31471585,31477960
ENSG00000242973,AL591242.1,46670444,46688165
ENSG00000273782,AC004510.1,15834730,15834804
ENSG00000267453,CLEC4O,15851993,15864904
ENSG00000180113,TDRD6,46687875,46704319
ENSG00000273330,CYP4F36P,15871667,15871852
ENSG00000229621,LINC01822,21687430,21710656
ENSG00000264192,RN7SL117P,21922993,21923288
ENSG00000186115,CYP4F2,15878023,15898077
ENSG00000228999,AC096570.1,21932662,22536322
ENSG00000146070,PLA2G7,46704201,46735693
ENSG00000116213,WRAP73,3630767,3652761
ENSG00000223691,AC068044.1,22188336,22190313
ENSG00000234189,AC099799.1,22317053,22317244
ENSG00000206882,RNA5SP87,22338886,22339003
ENSG00000234207,LINC01830,22377594,22482004
ENSG00000233587,LINC01884,22508129,22548800
ENSG00000222616,RN7SKP27,22861552,22861884
ENSG00000230062,ANKRD66,46746917,46759506
ENSG00000232451,AC018467.1,23018125,23199056
ENSG00000267218,AC005336.2,15902300,15903238
ENSG00000236164,AL161618.1,46758296,46761158
ENSG00000279717,AC005336.3,15904556,15907234
ENSG00000223530,AC012506.1,23330664,23332044
ENSG00000267056,AC005336.1,15910582,15911824
ENSG00000112818,MEP1A,46793389,46839782
ENSG00000233714,AC012506.3,23347654,23351864
ENSG00000223634,AC012506.2,23357516,23360376
ENSG00000235497,AC012506.4,23375229,23381299
ENSG00000171903,CYP4F11,15912367,15934867
ENSG00000212259,RNU6-308P,95521369,95521475
ENSG00000164291,ARSK,95555101,95605102
ENSG00000131368,MRPS25,15042460,15065317
ENSG00000119771,KLHL29,23385179,23708611
ENSG00000269335,IKBKG,154541199,154565046
ENSG00000231957,GNAI2P2,78068623,78069538
ENSG00000283096,AL731555.1,78176928,78178186
ENSG00000282863,AC012560.1,78179174,78675109
ENSG00000178015,GPR150,95620087,95622142
ENSG00000230417,LINC00595,78179185,78551355
ENSG00000069122,ADGRF5,46852522,46954943
ENSG00000175449,RFESD,95646754,95684773
ENSG00000224361,AC011239.1,23507043,23524344
ENSG00000279526,AC011239.2,23616499,23617987
ENSG00000283031,AC009242.1,23667208,23685453
ENSG00000140521,POLG,89305198,89334861
ENSG00000259088,AL137779.2,101796555,101810321
ENSG00000207208,RNU6-790P,101803227,101803331
ENSG00000288090,AC010163.3,78288059,78290565
ENSG00000256705,AL137779.1,101833435,101839531
ENSG00000259161,NPM1P20,101843394,101844122
ENSG00000119778,ATAD2B,23748664,23927123
ENSG00000229543,AC010163.1,78293842,78301003
ENSG00000271780,AL118558.3,101948347,101949425
ENSG00000131381,RBSN,15070073,15099163
ENSG00000230229,AC010163.2,78352597,78356100
ENSG00000145757,SPATA9,95652181,95698711
ENSG00000272444,AL118558.4,101952416,101953063
ENSG00000201393,SNORA71,78367507,78367623
ENSG00000282952,AL583852.1,78538391,78551719
ENSG00000176231,OR10H4,15944299,15950350
ENSG00000228683,AC016820.1,78696062,78697022
ENSG00000274591,AC025031.3,46239106,46239473
ENSG00000224596,ZMIZ1-AS1,78943328,79067895
ENSG00000267392,CYP4F9P,15979835,15999020
ENSG00000197102,DYNC1H1,101964573,102056443
ENSG00000229569,AL356753.1,79000484,79003803
ENSG00000134294,SLC38A2,46358188,46372773
ENSG00000108175,ZMIZ1,79068966,79316528
ENSG00000205396,LINC00661,16015287,16027462
ENSG00000250240,AC008840.1,95701249,95732295
ENSG00000225730,ADGRF5-AS1,46903471,46909078
ENSG00000164292,RHOBTB3,95713522,95824383
ENSG00000280412,AC004790.2,16019719,16020290
ENSG00000153292,ADGRF1,46997708,47042350
ENSG00000167459,LINC00905,16031170,16042142
ENSG00000224464,PGAM1P6,23872268,23873014
ENSG00000238111,RPS13P4,23900693,23901149
ENSG00000173960,UBXN2A,23927285,24004909
ENSG00000108179,PPIF,79347469,79355334
ENSG00000173221,GLRX,95751319,95822726
ENSG00000228874,AC090954.1,15131848,15132208
ENSG00000279245,FAM223A,154571248,154571960
ENSG00000227578,RPS3AP53,15141380,15142157
ENSG00000273041,ATF4P2,154580926,154581998
ENSG00000078900,TP73,3652516,3736201
ENSG00000268651,CTAG1A,154585133,154586821
ENSG00000230524,COL6A4P1,15151833,15205959
ENSG00000234946,SDHCP3,23943846,23944351
ENSG00000243847,RN7SL610P,23996795,23997085
ENSG00000165424,ZCCHC24,79382325,79445624
ENSG00000232155,AC244090.1,154605858,154605950
ENSG00000184033,CTAG1B,154617609,154619282
ENSG00000235426,AL133481.1,79382328,79409274
ENSG00000259021,TPRX1P1,79499666,79499984
ENSG00000205639,MFSD2B,24010081,24063321
ENSG00000251348,HSPD1P11,95768999,95770700
ENSG00000241317,AL133481.3,79504073,79506281
ENSG00000235705,AL133481.2,79507597,79510982
ENSG00000251000,GGCTP1,95834424,95835046
ENSG00000251409,AC008592.3,95835943,95852721
ENSG00000273773,AC244107.2,154620096,154620171
ENSG00000236882,LINC01554,95838245,95860133
ENSG00000213338,ATF4P1,154622428,154623500
ENSG00000253626,EIF5AL1,79512601,79516440
ENSG00000272681,FAM223B,154632470,154633182
ENSG00000267609,SNX33P1,16034776,16036537
ENSG00000277766,AC004790.1,16037009,16038455
ENSG00000140675,SLC5A2,31483002,31490860
ENSG00000275882,IKBKGP1,154639978,154648275
ENSG00000267450,OR1AB1P,16051929,16052689
ENSG00000271985,BX248123.1,79526508,79526631
ENSG00000267517,LINC01855,16065737,16066312
ENSG00000126890,CTAG2,154651972,154653579
ENSG00000232965,RPS12P18,79544087,79544356
ENSG00000272021,AC008592.4,95849309,95849855
ENSG00000185303,SFTPA2,79555852,79560407
ENSG00000250362,AC008592.1,95861786,95874519
ENSG00000118985,ELL2,95885098,95961851
ENSG00000226141,AC244107.1,154654546,154655325
ENSG00000237619,OR3B1P,154658741,154659643
ENSG00000131375,CAPN7,15206152,15252916
ENSG00000146072,TNFRSF21,47231532,47309905
ENSG00000160219,GAB3,154675249,154751583
ENSG00000163026,WDCP,24029347,24049575
ENSG00000258096,AC025031.2,46371463,46373778
ENSG00000167460,TPM4,16067021,16103002
ENSG00000257261,AC008014.1,46383652,46876784
ENSG00000271328,B3GNTL1P2,47368943,47369230
ENSG00000222940,RNU6-370P,24045835,24045938
ENSG00000287485,AL451166.1,47374561,47397398
ENSG00000270761,AL355353.1,47477243,47477572
ENSG00000198087,CD2AP,47477789,47627263
ENSG00000257496,AC025031.1,46384233,46386991
ENSG00000251314,AC104123.1,95962001,96631085
ENSG00000119782,FKBP1B,24049701,24063681
ENSG00000275481,AC025031.4,46388856,46392126
ENSG00000278896,AC025031.5,46404644,46407166
ENSG00000272369,AC008035.1,46537502,46652550
ENSG00000250955,AC008592.2,95964999,95986311
ENSG00000272963,OR7A19P,46592573,46593305
ENSG00000213716,FABP5P5,95973041,95973446
ENSG00000271642,MARK3P1,46682071,46682713
ENSG00000250551,MIR583HG,96050115,96215519
ENSG00000207578,MIR583,96079138,96079212
ENSG00000206997,RNU6-524P,96210121,96210227
ENSG00000249746,AC099509.1,96213346,96215075
ENSG00000139209,SLC38A4,46764761,46832408
ENSG00000219430,MBL3P,79582298,79584877
ENSG00000250158,AC099509.2,96247776,96278751
ENSG00000225827,SFTPA3P,79595294,79595660
ENSG00000122852,SFTPA1,79610939,79615455
ENSG00000175426,PCSK1,96390333,96434143
ENSG00000140688,RUSF1,31489471,31509309
ENSG00000255680,AC091564.6,6618790,6619764
ENSG00000166341,DCHS1,6621330,6655809
ENSG00000199762,Y_RNA,47489067,47489170
ENSG00000216813,AL358178.1,47562622,47563018
ENSG00000164393,ADGRF2,47656436,47697797
ENSG00000130826,DKC1,154762742,154777689
ENSG00000115128,SF3B6,24067586,24076373
ENSG00000255390,AC091564.4,6621451,6622322
ENSG00000255410,AC091564.5,6630504,6658396
ENSG00000274723,AC079906.1,46970504,46972155
ENSG00000275101,MIR6766,89326739,89326810
ENSG00000261441,AC124068.2,89335053,89336161
ENSG00000139211,AMIGO2,47075707,47079959
ENSG00000158042,MRPL17,6680385,6683340
ENSG00000153294,ADGRF4,47685864,47722021
ENSG00000279708,AC133637.1,89358841,89360377
ENSG00000219626,FAM228B,24076526,24169640
ENSG00000287717,AC133637.2,89361157,89362421
ENSG00000179715,PCED1B,47079603,47236662
ENSG00000255571,MIR9-3HG,89361579,89398487
ENSG00000241678,AC091564.1,6685891,6686369
ENSG00000224660,SH3BP5-AS1,15254184,15264515
ENSG00000254838,GVINP1,6713536,6746439
ENSG00000254781,GVINP2,6748131,6750324
ENSG00000226676,LINC02679,79628757,79632188
ENSG00000258352,IFITM3P6,47135498,47138370
ENSG00000188124,OR2AG2,6765626,6771976
ENSG00000244733,AL132656.2,79660891,79677996
ENSG00000263838,MIR4698,47187812,47187891
ENSG00000247774,PCED1B-AS1,47205898,47216456
ENSG00000252711,RN7SKP116,47715283,47715601
ENSG00000226594,AL356421.2,47729827,47740741
ENSG00000216616,AL356421.1,47752828,47753240
ENSG00000225484,NUTM2B-AS1,79661394,79826594
ENSG00000279486,OR2AG1,6783020,6791558
ENSG00000124818,OPN5,47781982,47832780
ENSG00000115129,TP53I3,24077433,24085861
ENSG00000260740,AC026471.3,31487370,31488492
ENSG00000260625,AC026471.2,31508464,31509560
ENSG00000184933,OR6A2,6791736,6799689
ENSG00000169877,AHSP,31527900,31528803
ENSG00000283415,AC087280.2,6821942,6926878
ENSG00000258181,AC008083.3,47248124,47257539
ENSG00000254712,AC087280.1,6843664,6844666
ENSG00000257925,AC008083.2,47237734,47279021
ENSG00000166363,OR10A5,6845652,6846705
ENSG00000276454,AC008083.4,47265665,47266108
ENSG00000131370,SH3BP5,15254353,15341368
ENSG00000258116,PPIAP45,47341614,47342089
ENSG00000199566,AC008083.1,47346166,47346297
ENSG00000257924,LINC02416,47353754,47369935
ENSG00000170790,OR10A2,6863057,6874717
ENSG00000264906,MIR4494,47364186,47364269
ENSG00000257906,LINC02156,47377638,47420192
ENSG00000170782,OR10A4,6876625,6877619
ENSG00000261475,LINC02190,31542748,31553604
ENSG00000166368,OR2D2,6891490,6892599
ENSG00000261648,AC106730.1,31546698,31547237
ENSG00000213547,VN1R64P,31546805,31547737
ENSG00000178358,OR2D3,6920974,6922043
ENSG00000260883,VN1R65P,31554105,31554912
ENSG00000258369,ADI1P3,47463087,47463621
ENSG00000261741,FRG2KP,31563082,31567716
ENSG00000257807,AC003686.1,47484689,47485722
ENSG00000257905,AC004486.1,47593208,47593440
ENSG00000278885,AC106730.2,31566360,31567000
ENSG00000200340,RNU1-105P,47823390,47823550
ENSG00000261614,YBX3P1,31568386,31569475
ENSG00000176732,PFN4,24114809,24123464
ENSG00000260010,ZNF720P1,31601593,31603531
ENSG00000244694,PTCHD4,47878028,48068689
ENSG00000005175,RPAP3,47661249,47706030
ENSG00000237185,VN1R66P,31648307,31649222
ENSG00000260631,RBM22P12,31680847,31682101
ENSG00000149054,ZNF215,6926404,7001004
ENSG00000260472,AC074050.1,31697397,31697607
ENSG00000260568,AC074050.2,31699676,31700465
ENSG00000286811,AL353138.1,48069213,48111078
ENSG00000276087,AC008073.3,24124366,24190436
ENSG00000131797,CLUHP3,31700590,31711986
ENSG00000226068,HNRNPA3P4,48149203,48150005
ENSG00000216835,RBMXP1,48213604,48214794
ENSG00000278736,FO393412.1,48701491,48701872
ENSG00000287137,AL391538.1,48754649,48795513
ENSG00000232642,AC008073.2,24165884,24175005
ENSG00000271162,AL022099.1,48952070,48952781
ENSG00000218337,AL589994.1,49077712,49078051
ENSG00000274867,AL589994.2,49115537,49116115
ENSG00000217631,FO393413.1,49273600,49273794
ENSG00000252457,RNU7-65P,49344800,49344861
ENSG00000272489,AL132656.3,79663192,79664786
ENSG00000277043,EEF1A1P42,49358185,49360420
ENSG00000280355,AL132656.4,79681973,79684094
ENSG00000153113,CAST,96525267,96779595
ENSG00000146085,MMUT,49430360,49463253
ENSG00000278616,BEND3P3,79682997,79685436
ENSG00000186453,FAM228A,24175053,24200849
ENSG00000224886,AL132656.1,79684494,79684983
ENSG00000188199,NUTM2B,79703227,79714681
ENSG00000276867,AC074050.4,31704728,31705260
ENSG00000261731,AC074050.3,31709113,31711984
ENSG00000031691,CENPQ,49463370,49493107
ENSG00000223754,AC008073.1,24199839,24201698
ENSG00000272447,AL135925.1,79825902,79827602
ENSG00000197302,ZNF720,31713229,31794869
ENSG00000228570,NUTM2E,79841358,79850878
ENSG00000203972,GLYATL3,49499923,49528078
ENSG00000149050,ZNF214,6997085,7020346
ENSG00000214695,NPAP1P2,79860573,79861806
ENSG00000276390,AC004241.3,47699401,47699917
ENSG00000204437,CTSLP6,79870375,79873903
ENSG00000257433,AC004241.1,47706083,47742294
ENSG00000214584,PGGT1BP2,79892148,79893175
ENSG00000197261,C6orf141,49550646,49561907
ENSG00000206948,SNORA36A,154768528,154768659
ENSG00000283913,AL512662.1,79904898,79951029
ENSG00000284450,MIR664B,154768596,154768656
ENSG00000206693,SNORA56,154774998,154775126
ENSG00000158077,NLRP14,7020479,7071526
ENSG00000283101,BMS1P21,79906605,79907856
ENSG00000130830,MPP1,154778684,154821007
ENSG00000216998,CYP2AC1P,49565924,49580166
ENSG00000242600,MBL1P,79920178,79923119
ENSG00000111405,ENDOU,47709734,47725567
ENSG00000279198,AC008894.3,16074293,16077395
ENSG00000267373,AC008894.1,16103761,16104254
ENSG00000133661,SFTPD,79937467,79982614
ENSG00000112077,RHAG,49605175,49636839
ENSG00000170748,RBMXL2,7088998,7091148
ENSG00000167461,RAB8A,16111889,16134234
ENSG00000255179,AC027804.1,7222933,7230863
ENSG00000259810,AC002519.1,31788202,31790993
ENSG00000221703,MIR302E,7234766,7234837
ENSG00000260722,VN1R67P,31801585,31802497
ENSG00000261457,AC002519.2,31802947,31807973
ENSG00000170743,SYT9,7238778,7469043
ENSG00000273372,SFTPD-AS1,79968213,79973213
ENSG00000180663,VN1R3,31807926,31808844
ENSG00000235924,ZNRF2P3,79981839,79982212
ENSG00000225100,DPY19L2P5,79982910,79983240
ENSG00000261284,RBM22P13,31863633,31864876
ENSG00000229616,AL356095.1,80017713,80017911
ENSG00000259874,AC034105.2,31870887,31871124
ENSG00000224760,C1DP3,80024737,80025159
ENSG00000236217,C1DP2,80031968,80032393
ENSG00000227515,C1DP4,80040621,80041044
ENSG00000185947,ZNF267,31873807,31917357
ENSG00000230091,TMEM254-AS1,80046860,80078912
ENSG00000280054,AC004241.5,47728151,47730598
ENSG00000201162,RNU6-454P,15339749,15339855
ENSG00000226427,HMGN2P7,15375373,15375645
ENSG00000274902,AC004241.2,47731908,47732351
ENSG00000282432,AL356095.3,80053428,80053548
ENSG00000133678,TMEM254,80078646,80092557
ENSG00000251364,AC107884.1,7418826,7513644
ENSG00000206562,METTL6,15381275,15440566
ENSG00000259950,AC034105.3,31894542,31894983
ENSG00000261289,AC034105.5,31952160,31952473
ENSG00000079337,RAPGEF3,47734363,47771040
ENSG00000269243,AC008894.2,16123661,16139892
ENSG00000197476,AC034105.1,31962063,31962381
ENSG00000260218,AC034105.4,31963803,31964079
ENSG00000260628,AC142381.3,31975803,32003728
ENSG00000196684,HSH2D,16134028,16158575
ENSG00000284329,MIR9-3,89368017,89368106
ENSG00000183801,OLFML1,7485388,7511377
ENSG00000140519,RHCG,89471398,89496589
ENSG00000227589,TP73-AS3,3658938,3668772
ENSG00000261727,AC142381.4,32008438,32084785
ENSG00000144597,EAF1,15427598,15450635
ENSG00000235131,TP73-AS2,3712200,3714298
ENSG00000261704,IGHV1OR16-1,32034853,32035326
ENSG00000223931,AC142381.1,32051825,32052280
ENSG00000260048,IGHV1OR16-3,32059084,32059372
ENSG00000254324,MIR151A,140732564,140732653
ENSG00000279786,AC105235.1,140820599,140822414
ENSG00000259013,AL118558.2,101969364,101969601
ENSG00000252864,RNA5SP278,140940562,140940663
ENSG00000258959,AL118558.1,102036315,102066228
ENSG00000253266,AC100860.1,141055290,141060596
ENSG00000270472,IGHV3OR16-9,32066065,32066358
ENSG00000229237,HMGN1P37,154817099,154817401
ENSG00000240457,RN7SL472P,102077180,102077472
ENSG00000230267,HERC2P4,32103245,32188107
ENSG00000203870,SMIM9,154823348,154834662
ENSG00000080824,HSP90AA1,102080742,102139699
ENSG00000206926,RNU6-1024P,15433110,15433216
ENSG00000227372,TP73-AS1,3735511,3747373
ENSG00000249786,EAF1-AS1,15436171,15455940
ENSG00000185010,F8,154835788,155026940
ENSG00000105339,DENND3,141117278,141195808
ENSG00000260584,AC142381.2,32116700,32116997
ENSG00000286473,AC133485.7,32126432,32132724
ENSG00000141977,CIB3,16161368,16173525
ENSG00000259218,LINC00928,89504909,89524049
ENSG00000279997,AC133485.6,32185624,32186311
ENSG00000198399,ITSN2,24202864,24360536
ENSG00000260847,AC133485.5,32188333,32193530
ENSG00000260649,AC133485.4,32189262,32189481
ENSG00000261478,AC013391.3,89508961,89510416
ENSG00000260540,ABHD17AP8,32199902,32202822
ENSG00000259713,AC013391.2,89518523,89591956
ENSG00000140534,TICRR,89575469,89631056
ENSG00000260344,AC133485.1,32213380,32213503
ENSG00000260575,AC133485.3,32250620,32254422
ENSG00000279399,AL356095.2,80091411,80091867
ENSG00000124490,CRISP2,49692358,49713590
ENSG00000230171,RPL22P18,80125941,80126317
ENSG00000205456,TP53TG3D,32252719,32255922
ENSG00000189129,PLAC9,80131682,80145359
ENSG00000206561,COLQ,15450133,15521751
ENSG00000105058,FAM32A,16185380,16192046
ENSG00000260402,AC133485.2,32262827,32265514
ENSG00000122359,ANXA11,80150889,80205572
ENSG00000166387,PPFIBP2,7513298,7657127
ENSG00000259822,AC140878.1,32278866,32279115
ENSG00000261127,AC133548.2,32289547,32310555
ENSG00000274183,H2AB1,154884972,154885558
ENSG00000276189,AL136528.1,3736943,3737103
ENSG00000260516,AC133548.1,32356981,32363695
